"","kg_km2","X","Y","X.utm","Y.utm","month","year","depth","CHL","TMP_sst","TMP_bot","dox.bot","nit","pho","sal","poc"
"5355",10.0440573352998,17.0173333333333,41.9925833333333,667.091024900057,4650.92301774964,7,2018,592,0.0850840788967691,25.2522773742676,13.9246807098389,215.038833618164,1.53430339525438,0.111933062345942,38.8411113213023,0.0344631001353264
"5358",12.334464553258,17.16275,41.5060833333333,680.501636909621,4597.19968892035,7,2018,533,0.0787380181181837,25.3633079528809,13.9161624908447,216.196731567383,1.38304407965739,0.112416318953541,38.8265378959399,0.683877170085907
"5374",10.0090623166354,17.0214166666667,42.0900833333333,667.174755849123,4661.75712705198,7,2018,614.5,0.085323535615224,25.24680519104,13.9575319290161,215.227798461914,1.47151353955166,0.109957336820837,38.8379868808406,0.0857205763459206
"5399",5.12600502131734,16.9685833333333,42.1175,662.737771391145,4664.69759598746,8,2018,411.5,0.0646937040090161,27.782413482666,14.1667737960815,216.27848815918,1.26929000420594,0.106042320975918,38.836814181039,1.0109521150589
"5419",13.0286049973742,17.1729166666667,39.1521666666667,687.760679508371,4335.91513817382,8,2018,76.5,0.134126372906688,27.8728981018066,14.9620628356934,209.262451171875,0.202592125942897,0.036568329464872,38.6592133910876,7.37690258026123
"5420",10.0677098831513,17.2119166666667,39.121,691.215436981351,4332.53369543743,8,2018,247,0.134126372906688,27.8728981018066,14.9620628356934,209.262451171875,0.202592125942897,0.036568329464872,38.6592133910876,7.37690258026123
"5470",10.2984412482565,17.231,41.01275,687.600882997592,4542.57546242203,7,2018,38,0.103846504808325,25.8617687225342,20.521635055542,220.732086181641,0.584202832940291,0.0113786980806821,37.5369722334108,13.0268630981445
"5482",9.97590813196371,15.0530833333333,42.2248333333333,504.38210376018,4674.73736650196,8,2018,90,0.158856149291455,27.7578449249268,14.3489055633545,217.10920715332,0.481556728953591,0.0687563881883287,38.4590905809524,15.1758127212524
"5492",9.26396507041953,15.0600833333333,42.2950833333333,504.954276038818,4682.54343377827,8,2018,106,0.120379524413375,27.7219676971436,14.2108736038208,218.179275512695,0.543360534354928,0.0828933305628442,38.584640962218,11.089409828186
"5529",9.70232900133495,14.4190833333333,42.7866666666667,452.488283144482,4737.29224324072,8,2018,106.5,0.10618108346632,27.5586223602295,14.2307071685791,217.687744140625,0.510968898473612,0.0894814690370712,38.6825052190614,10.9997282028198
"5536",8.95696460916365,14.2905,42.5686666666667,441.766860329582,4713.16538700651,8,2018,50.5,0.233612182512916,27.7486705780029,15.1363315582275,217.559127807617,0.589967811861664,0.0502209492159138,38.1123977297901,28.2058086395264
"5566",11.5772108950736,16.9256666666667,39.6160833333333,665.29987081964,4386.92112409624,8,2018,546.5,0.0553714879164077,27.87819480896,13.9101161956787,208.104446411133,1.74437207854169,0.106616712276736,38.8138047413501,0.0145959705114365
"5573",9.78447918060223,16.9554166666667,39.7469166666667,667.532971026842,4401.49450671791,8,2018,377,0.0417659230858876,27.8228340148926,14.0369482040405,207.660797119141,1.56560539039879,0.101146089163474,38.8037343265693,0.0862569957971573
"5577",8.50349318651393,17.02275,39.6970833333333,673.432808390034,4396.09506553842,8,2018,319.5,0.0458938409250172,27.8329849243164,14.043815612793,208.349670410156,1.55923443435388,0.100287758321279,38.8043858499521,0.0972362905740738
